AAA000LADESCRIPCIONDELAUTO          WOLKSWAGEN          NARANJA   G100099
AAA001LADESCRIPCIONDELAUTO          WOLKSWAGEN          NARANJA   G100099
AAA002LADESCRIPCIONDELAUTO          WOLKSWAGEN          AMARILLO  G100099
AAA008LADESCRIPCIONDELAUTO          WOLKSWAGEN          VERDE     G100099
AAA088LADESCRIPCIONDELAUTO          WOLKSWAGEN          ROJO      G100099
BAA088LADESCRIPCIONDELAUTO          WOLKSWAGEN          GRIS      G100099
CAA088LADESCRIPCIONDELAUTO          WOLKSWAGEN          NARANJA   G100099
AAA088LADESCRIPCIONDELAUTO          WOLKSWAGEN          ROSA      G100099
HRK903LADESCRIPCIONDELAUTO          WOLKSWAGEN          MAGENTA   G100099
ZRI180LADESCRIPCIONDELAUTO          WOLKSWAGEN          AZUL      G100099
